49,1.698,0,1.0,2.363,0,1.247
50,0.0,0,0.0,0.0,0,0.0
51,1.217,0,0.675,1.546,0,0.789
52,1.255,0,0.519,1.579,0,0.65
53,0.0,0,0.0,3.073,0,1.894
54,1.024,0,0.393,1.097,0,0.469
55,0.623,0,0.156,0.89,0,0.283
56,0.0,0,0.0,0.0,0,0.0
57,0.8,0,0.239,0.779,0,0.227
58,0.621,0,0.139,1.133,0,0.43
59,0.0,0,0.0,0.0,0,0.0
60,0.845,0,0.317,1.036,0,0.497
61,0.674,0,0.223,1.147,0,0.473
62,2.346,0,1.202,1.153,0,0.322
63,1.179,0,0.393,1.58,0,0.469
64,1.185,0,0.156,1.716,0,0.283
65,2.853,0,0.0,0.0,0,0.0
66,1.091,0,0.239,1.194,0,0.227
67,1.685,0,0.139,1.483,0,0.43
68,0.0,0,0.0,0.0,0,0.0
69,1.084,0,0.317,1.672,0,0.497
70,0.959,0,0.223,1.313,0,0.473
71,0.0,0,1.202,3.064,0,0.322
72,1.549,0,0.606,1.302,0,0.94
73,1.602,0,0.49,1.629,0,1.036
74,2.233,0,1.65,2.318,0,0.0
75,1.19,0,0.545,1.304,0,0.542
76,1.515,0,0.955,1.288,0,0.719
77,0.0,0,0.0,0.0,0,0.0
78,1.37,0,0.727,1.55,0,0.958
79,1.792,0,0.519,1.469,0,0.865
80,1.824,0,0.0,1.122,0,1.365
81,1.507,0,0.606,1.35,0,0.94
82,1.007,0,0.49,0.936,0,1.036
83,0.0,0,1.65,0.616,0,0.0
84,1.736,0,0.545,1.618,0,0.542
85,1.36,0,0.955,1.48,0,0.719
86,0.0,0,0.0,0.0,0,0.0
87,1.138,0,0.727,0.995,0,0.958
88,1.01,0,0.519,1.265,0,0.865
89,1.253,0,0.0,1.807,0,1.365
90,1.306,0,0.642,1.291,0,0.712
91,1.067,0,0.477,1.108,0,0.437
92,1.225,0,0.349,1.224,0,0.362
93,1.513,0,0.723,1.381,0,0.609
94,1.348,0,0.592,1.112,0,0.482
95,0.0,0,0.0,1.621,0,0.494
96,1.129,0,0.691,1.454,0,0.888
97,1.01,0,0.535,0.931,0,0.431
98,1.103,0,0.294,1.282,0,0.542
99,2.0,0,1.172,2.016,0,0.953
100,1.781,0,1.168,2.018,0,1.281
101,1.94,0,0.987,1.916,0,0.768
102,1.889,0,0.907,1.787,0,0.932
103,1.705,0,0.933,1.892,0,1.129
104,1.791,0,0.765,2.997,0,1.03
105,1.28,0,0.677,1.29,0,0.639
106,1.646,1,0.928,1.467,1,0.975
107,1.78,0,0.869,1.694,0,0.726
108,1.305,0,1.172,1.556,0,0.953
109,1.344,0,1.168,1.43,0,1.281
110,2.555,0,0.987,2.21,0,0.768
111,1.073,0,0.907,1.535,0,0.932
112,1.166,0,0.933,1.307,0,1.129
113,1.586,0,0.765,1.277,0,1.03
114,1.063,0,0.677,1.193,0,0.639
115,1.373,1,0.928,1.538,1,0.975
116,1.536,0,0.869,1.792,0,0.726
117,1.418,0,0.704,1.399,0,0.824
118,1.487,1,0.765,1.413,1,0.753
119,1.488,0,1.266,1.669,1,0.978
120,1.472,0,0.508,1.302,0,0.815
121,1.419,0,0.623,1.33,1,0.532
122,1.539,0,0.683,1.974,0,0.394
123,1.699,0,0.574,1.491,0,0.564
124,1.449,1,0.782,1.398,1,0.809
125,1.806,1,0.779,1.714,1,0.744
126,1.069,0,0.704,1.254,0,0.824
127,1.271,1,0.765,1.1,1,0.753
128,1.137,0,1.266,1.276,0,0.978
129,1.274,0,0.508,1.321,0,0.815
130,1.214,0,0.623,1.34,0,0.532
131,1.832,0,0.683,1.329,0,0.394
132,1.067,0,0.574,1.181,0,0.564
133,1.199,1,0.782,1.109,1,0.809
134,1.311,0,0.779,1.196,0,0.744
135,1.758,0,0.803,1.577,0,0.641
136,0.892,0,0.479,1.243,0,0.655
137,1.475,0,0.527,1.277,0,0.588
138,1.455,0,0.663,1.494,0,0.649
139,1.262,0,0.596,1.302,0,0.502
140,0.809,0,0.116,1.223,0,0.198
141,1.27,0,0.511,1.621,0,0.741
142,1.19,0,0.548,1.338,0,0.586
143,1.481,0,0.528,1.364,0,0.344
144,2.091,0,1.146,2.421,0,1.52
145,2.152,1,1.692,2.064,1,1.486
146,1.981,0,0.96,1.886,0,0.844
147,1.519,0,0.854,1.935,0,1.127
148,2.003,0,1.365,2.375,0,1.703
149,1.68,0,0.644,1.893,0,0.524
150,1.622,0,1.006,1.66,0,0.862
151,1.943,0,1.127,1.624,0,1.044
152,1.973,0,0.901,1.934,0,0.688
